campaign,source,weighting,target,ceiling,half_split,n_masks,n_seeds,n_splits,gate_pass
A,campaign,ens_var,C1,0.9136668803346715,0.8410559006211178,24,10,126,True
A,campaign,ens_var,C2,0.9438005685545593,0.8935817805383022,24,10,126,True
A,campaign,ens_var,C3,0.7483587865385943,0.5979020013802621,24,10,126,True
A,campaign,ens_var,C4,0.8490820058856466,0.7377432712215318,24,10,126,True
A,campaign,ens_var,C5,0.9292246300504351,0.8678053830227743,24,10,126,True
A,campaign,ens_var,C6,0.9515802269043759,0.9076328502415457,24,10,126,True
A,campaign,ens_var,C7,0.9393706493335382,0.8856728778467908,24,10,126,True
A,campaign,ens_var,C8,0.9430147058823529,0.8921739130434783,24,10,126,True
A,campaign,ens_var,C9,0.7776638955320199,0.6362111801242236,24,10,126,True
A,campaign,ens_var_q75,C1,0.9143627781523938,0.8422360248447206,24,10,126,True
A,campaign,ens_var_q75,C2,0.9344373807308922,0.8769427191166324,24,10,126,True
A,campaign,ens_var_q75,C3,0.7961516732577846,0.6613388543823324,24,10,126,True
A,campaign,ens_var_q75,C4,0.9317349906554457,0.8721946169772256,24,10,126,True
A,campaign,ens_var_q75,C5,0.8979354352926859,0.814775707384403,24,10,126,True
A,campaign,ens_var_q75,C6,0.9304418109413809,0.8699309868875086,24,10,126,True
A,campaign,ens_var_q75,C7,0.9047163714288953,0.8260110420979985,24,10,126,True
A,campaign,ens_var_q75,C8,0.9259944187287599,0.8621877156659766,24,10,126,True
A,campaign,ens_var_q75,C9,0.8329856720601143,0.7137750172532779,24,10,126,True
A,campaign,fail_div,C1,0.9501939858939108,0.9051138716356107,24,10,126,True
A,campaign,fail_div,C2,0.9277032202204535,0.8651552795031056,24,10,126,True
A,campaign,fail_div,C3,0.8024397500743827,0.6700621118012423,24,10,126,True
A,campaign,fail_div,C4,0.8153973814477659,0.6883298826777087,24,10,126,True
A,campaign,fail_div,C5,0.9291652810109744,0.8677018633540372,24,10,126,True
A,campaign,fail_div,C6,0.9312267657992565,0.8713043478260869,24,10,126,True
A,campaign,fail_div,C7,0.8433446417880661,0.7291235334713594,24,10,126,True
A,campaign,fail_div,C8,0.9100428009417711,0.8349344375431331,24,10,126,True
A,campaign,fail_div,C9,0.862615043466316,0.7584195997239475,24,10,126,True
A,campaign,fail_div_q75,C1,0.9336924486439349,0.8756314699792959,24,10,126,True
A,campaign,fail_div_q75,C2,0.9481325541722624,0.9013802622498275,24,10,126,True
A,campaign,fail_div_q75,C3,0.7523732031461892,0.6030434782608695,24,10,126,True
A,campaign,fail_div_q75,C4,0.8982496692467951,0.8152933057280882,24,10,126,True
A,campaign,fail_div_q75,C5,0.9167893906659988,0.8463630089717047,24,10,126,True
A,campaign,fail_div_q75,C6,0.9371222346106449,0.8816839199447895,24,10,126,True
A,campaign,fail_div_q75,C7,0.9221196082734201,0.8554934437543134,24,10,126,True
A,campaign,fail_div_q75,C8,0.9131168568149599,0.8401242236024845,24,10,126,True
A,campaign,fail_div_q75,C9,0.8489448661272834,0.737536231884058,24,10,126,True
B,campaign,plain,C1,0.9576926811899136,0.9188198757763975,24,10,126,True
B,campaign,plain,C2,0.940018507613359,0.8868253968253966,24,10,126,True
B,campaign,plain,C3,0.8949096441822597,0.809806763285024,24,10,126,True
B,campaign,plain,C4,0.9355528293431867,0.878909592822636,24,10,126,True
B,campaign,plain,C5,0.960041627043224,0.9231538992408558,24,10,126,True
B,campaign,plain,C6,0.9717132435386121,0.9449827467218771,24,10,126,True
B,campaign,plain,C7,0.9713993653768341,0.9443892339544513,24,10,126,True
B,campaign,plain,C8,0.9247910243424642,0.8601035196687371,24,10,126,True
B,campaign,plain,C9,0.9210923102697268,0.853726708074534,24,10,126,True
B,campaign,transport,C1,0.9288644780709212,0.8671773636991028,24,10,126,True
B,campaign,transport,C2,0.9041406693136698,0.8250517598343684,24,10,126,True
B,campaign,transport,C3,0.8849428812183289,0.7936300897170463,24,10,126,True
B,campaign,transport,C4,0.9148871639913281,0.8431262939958591,24,10,126,True
B,campaign,transport,C5,0.935974915737144,0.8796549344375433,24,10,126,True
B,campaign,transport,C6,0.9801017786630816,0.9609799861973773,24,10,126,True
B,campaign,transport,C7,0.9562812206251508,0.9162249827467217,24,10,126,True
B,campaign,transport,C8,0.9365527870536858,0.8806763285024152,24,10,126,True
B,campaign,transport,C9,0.9383993201066729,0.8839475500345065,24,10,126,True
B,campaign,interaction,C1,0.9695780176643768,0.9409523809523809,24,10,126,True
B,campaign,interaction,C2,0.9586739442110823,0.9206280193236714,24,10,126,True
B,campaign,interaction,C3,0.8401040624374625,0.7242926155969635,24,10,126,True
B,campaign,interaction,C4,0.9269329462688888,0.8638164251207728,24,10,126,True
B,campaign,interaction,C5,0.9559879387426463,0.9156866804692892,24,10,126,True
B,campaign,interaction,C6,0.9410333146972737,0.8886335403726707,24,10,126,True
B,campaign,interaction,C7,0.9120886546388268,0.8383850931677017,24,10,126,True
B,campaign,interaction,C8,0.8590506261835675,0.7529261559696341,24,10,126,True
B,campaign,interaction,C9,0.8947705638271907,0.8095790200138026,24,10,126,True
B,campaign,ens_var,C1,0.9089060823403173,0.8330227743271221,24,10,126,True
B,campaign,ens_var,C2,0.9146433266294394,0.8427122153209109,24,10,126,True
B,campaign,ens_var,C3,0.9394443976827335,0.8858040027605244,24,10,126,True
B,campaign,ens_var,C4,0.8917315833553228,0.8046169772256727,24,10,126,True
B,campaign,ens_var,C5,0.9421311421552343,0.8905935127674256,24,10,126,True
B,campaign,ens_var,C6,0.9700980148266084,0.9419323671497586,24,10,126,True
B,campaign,ens_var,C7,0.9219191178932408,0.8551483781918562,24,10,126,True
B,campaign,ens_var,C8,0.9123173120951215,0.8387715665976533,24,10,126,True
B,campaign,ens_var,C9,0.8958864340332147,0.8114078674948239,24,10,126,True
B,campaign,ens_var_q75,C1,0.8950402635431918,0.8100207039337474,24,10,126,True
B,campaign,ens_var_q75,C2,0.950562741718209,0.9057832988267769,24,10,126,True
B,campaign,ens_var_q75,C3,0.9184912617228754,0.8492684610075912,24,10,126,True
B,campaign,ens_var_q75,C4,0.9170160765936455,0.8467494824016563,24,10,126,True
B,campaign,ens_var_q75,C5,0.9213171989979937,0.8541131815044857,24,10,126,True
B,campaign,ens_var_q75,C6,0.9698893466368557,0.9415389924085574,24,10,126,True
B,campaign,ens_var_q75,C7,0.9214577068508648,0.8543547273982055,24,10,126,True
B,campaign,ens_var_q75,C8,0.8799220815361068,0.7855900621118012,24,10,126,True
B,campaign,ens_var_q75,C9,0.9107064996767452,0.8360524499654935,24,10,126,True
B,campaign,fail_div,C1,0.9333706297824415,0.8750655624568668,24,10,126,True
B,campaign,fail_div,C2,0.9635563821036445,0.9296756383712907,24,10,126,True
B,campaign,fail_div,C3,0.9323922077156582,0.8733471359558316,24,10,126,True
B,campaign,fail_div,C4,0.9096655254148012,0.8342995169082125,24,10,126,True
B,campaign,fail_div,C5,0.9284486169296242,0.8664527260179432,24,10,126,True
B,campaign,fail_div,C6,0.9735197857780422,0.9484057971014492,24,10,126,True
B,campaign,fail_div,C7,0.8551518168242906,0.7469565217391303,24,10,126,True
B,campaign,fail_div,C8,0.9181440458724841,0.8486749482401653,24,10,126,True
B,campaign,fail_div,C9,0.9248867569643076,0.8602691511387164,24,10,126,True
B,campaign,fail_div_q75,C1,0.9076887704525666,0.8309799861973773,24,10,126,True
B,campaign,fail_div_q75,C2,0.9654655405067719,0.9332367149758454,24,10,126,True
B,campaign,fail_div_q75,C3,0.909981306442695,0.8348309178743962,24,10,126,True
B,campaign,fail_div_q75,C4,0.8834306189678091,0.7912008281573498,24,10,126,True
B,campaign,fail_div_q75,C5,0.9041240933876858,0.8250241545893717,24,10,126,True
B,campaign,fail_div_q75,C6,0.973156074607404,0.9477156659765356,24,10,126,True
B,campaign,fail_div_q75,C7,0.9272149790107279,0.8643064182194617,24,10,126,True
B,campaign,fail_div_q75,C8,0.8571428571428571,0.75,24,10,126,True
B,campaign,fail_div_q75,C9,0.9233209863241704,0.8575638371290546,24,10,126,True
C,campaign,plain,C1,,,8,9,0,False
C,campaign,plain,C2,,,8,9,0,False
C,campaign,plain,C3,,,8,9,0,False
C,campaign,plain,C4,,,8,9,0,False
C,campaign,plain,C5,,,8,9,0,False
C,campaign,plain,C6,,,8,9,0,False
C,campaign,plain,C7,,,8,9,0,False
C,campaign,plain,C8,,,8,9,0,False
C,campaign,plain,C9,,,8,9,0,False
C,campaign,transport,C1,,,8,9,0,False
C,campaign,transport,C2,,,8,9,0,False
C,campaign,transport,C3,,,8,9,0,False
C,campaign,transport,C4,,,8,9,0,False
C,campaign,transport,C5,,,8,9,0,False
C,campaign,transport,C6,,,8,9,0,False
C,campaign,transport,C7,,,8,9,0,False
C,campaign,transport,C8,,,8,9,0,False
C,campaign,transport,C9,,,8,9,0,False
C,campaign,interaction,C1,,,8,9,0,False
C,campaign,interaction,C2,,,8,9,0,False
C,campaign,interaction,C3,,,8,9,0,False
C,campaign,interaction,C4,,,8,9,0,False
C,campaign,interaction,C5,,,8,9,0,False
C,campaign,interaction,C6,,,8,9,0,False
C,campaign,interaction,C7,,,8,9,0,False
C,campaign,interaction,C8,,,8,9,0,False
C,campaign,interaction,C9,,,8,9,0,False
C,campaign,ens_var,C1,,,8,9,0,False
C,campaign,ens_var,C2,,,8,9,0,False
C,campaign,ens_var,C3,,,8,9,0,False
C,campaign,ens_var,C4,,,8,9,0,False
C,campaign,ens_var,C5,,,8,9,0,False
C,campaign,ens_var,C6,,,8,9,0,False
C,campaign,ens_var,C7,,,8,9,0,False
C,campaign,ens_var,C8,,,8,9,0,False
C,campaign,ens_var,C9,,,8,9,0,False
C,campaign,ens_var_q75,C1,,,8,9,0,False
C,campaign,ens_var_q75,C2,,,8,9,0,False
C,campaign,ens_var_q75,C3,,,8,9,0,False
C,campaign,ens_var_q75,C4,,,8,9,0,False
C,campaign,ens_var_q75,C5,,,8,9,0,False
C,campaign,ens_var_q75,C6,,,8,9,0,False
C,campaign,ens_var_q75,C7,,,8,9,0,False
C,campaign,ens_var_q75,C8,,,8,9,0,False
C,campaign,ens_var_q75,C9,,,8,9,0,False
C,campaign,fail_div,C1,,,8,9,0,False
C,campaign,fail_div,C2,,,8,9,0,False
C,campaign,fail_div,C3,,,8,9,0,False
C,campaign,fail_div,C4,,,8,9,0,False
C,campaign,fail_div,C5,,,8,9,0,False
C,campaign,fail_div,C6,,,8,9,0,False
C,campaign,fail_div,C7,,,8,9,0,False
C,campaign,fail_div,C8,,,8,9,0,False
C,campaign,fail_div,C9,,,8,9,0,False
C,campaign,fail_div_q75,C1,,,8,9,0,False
C,campaign,fail_div_q75,C2,,,8,9,0,False
C,campaign,fail_div_q75,C3,,,8,9,0,False
C,campaign,fail_div_q75,C4,,,8,9,0,False
C,campaign,fail_div_q75,C5,,,8,9,0,False
C,campaign,fail_div_q75,C6,,,8,9,0,False
C,campaign,fail_div_q75,C7,,,8,9,0,False
C,campaign,fail_div_q75,C8,,,8,9,0,False
C,campaign,fail_div_q75,C9,,,8,9,0,False
D,campaign,plain,C1,0.07623318385650221,0.03962703962703962,12,4,3,False
D,campaign,plain,C2,0.8214285714285715,0.6969696969696971,12,4,3,True
D,campaign,plain,C3,0.823045267489712,0.6993006993006995,12,4,3,True
D,campaign,plain,C4,0.9381188118811881,0.8834498834498835,12,4,3,True
D,campaign,plain,C5,0.8620689655172414,0.7575757575757577,12,4,3,True
D,campaign,plain,C6,0.9407407407407408,0.8881118881118882,12,4,3,True
D,campaign,plain,C7,0.6551724137931035,0.4871794871794872,12,4,3,True
D,campaign,plain,C8,0.8900388098318242,0.8018648018648019,12,4,3,True
D,campaign,plain,C9,0.6980273141122915,0.5361305361305363,12,4,3,True
D,campaign,transport,C1,0.6779661016949153,0.5128205128205129,12,4,3,True
D,campaign,transport,C2,0.8784313725490197,0.7832167832167833,12,4,3,True
D,campaign,transport,C3,0.8605577689243029,0.7552447552447554,12,4,3,True
D,campaign,transport,C4,0.9125475285171104,0.8391608391608393,12,4,3,True
D,campaign,transport,C5,0.8971722365038561,0.8135198135198136,12,4,3,True
D,campaign,transport,C6,0.9315068493150687,0.8717948717948719,12,4,3,True
D,campaign,transport,C7,0.9420468557336622,0.8904428904428906,12,4,3,True
D,campaign,transport,C8,0.8857142857142858,0.794871794871795,12,4,3,True
D,campaign,transport,C9,0.47058823529411775,0.30769230769230776,12,4,3,True
D,campaign,interaction,C1,0.8740157480314961,0.7762237762237763,12,4,3,True
D,campaign,interaction,C2,0.816551724137931,0.68997668997669,12,4,3,True
D,campaign,interaction,C3,0.8769633507853404,0.780885780885781,12,4,3,True
D,campaign,interaction,C4,0.9152970922882429,0.843822843822844,12,4,3,True
D,campaign,interaction,C5,0.8149171270718233,0.6876456876456878,12,4,3,True
D,campaign,interaction,C6,0.935483870967742,0.8787878787878789,12,4,3,True
D,campaign,interaction,C7,0.823045267489712,0.6993006993006995,12,4,3,True
D,campaign,interaction,C8,0.7812500000000001,0.6410256410256411,12,4,3,True
D,campaign,interaction,C9,0.829467939972715,0.7086247086247087,12,4,3,True
D,campaign,ens_var,C1,-0.10810810810810813,-0.05128205128205129,12,4,3,False
D,campaign,ens_var,C2,0.9125475285171104,0.8391608391608393,12,4,3,True
D,campaign,ens_var,C3,0.5383304940374788,0.3682983682983683,12,4,3,True
D,campaign,ens_var,C4,0.663551401869159,0.4965034965034965,12,4,3,True
D,campaign,ens_var,C5,0.7019667170953102,0.5407925407925408,12,4,3,True
D,campaign,ens_var,C6,0.9000000000000001,0.8181818181818183,12,4,3,True
D,campaign,ens_var,C7,0.6940639269406393,0.5314685314685316,12,4,3,True
D,campaign,ens_var,C8,0.8342391304347827,0.7156177156177157,12,4,3,True
D,campaign,ens_var,C9,0.8181818181818182,0.6923076923076924,12,4,3,True
D,campaign,ens_var_q75,C1,-0.17766497461928937,-0.0815850815850816,12,4,3,False
D,campaign,ens_var_q75,C2,0.8784313725490197,0.7832167832167833,12,4,3,True
D,campaign,ens_var_q75,C3,0.6227929373996791,0.4522144522144524,12,4,3,True
D,campaign,ens_var_q75,C4,0.9111675126903555,0.8368298368298369,12,4,3,True
D,campaign,ens_var_q75,C5,0.7949438202247191,0.6596736596736598,12,4,3,True
D,campaign,ens_var_q75,C6,0.9042145593869733,0.8251748251748253,12,4,3,True
D,campaign,ens_var_q75,C7,0.7829787234042555,0.6433566433566434,12,4,3,True
D,campaign,ens_var_q75,C8,0.9,0.8181818181818182,12,4,3,True
D,campaign,ens_var_q75,C9,0.736377025036819,0.5827505827505829,12,4,3,True
D,campaign,fail_div,C1,0.17446808510638298,0.09557109557109557,12,4,3,False
D,campaign,fail_div,C2,0.945945945945946,0.8974358974358975,12,4,3,True
D,campaign,fail_div,C3,0.512998266897747,0.344988344988345,12,4,3,True
D,campaign,fail_div,C4,0.6551724137931035,0.4871794871794872,12,4,3,True
D,campaign,fail_div,C5,0.7654676258992806,0.6200466200466201,12,4,3,True
D,campaign,fail_div,C6,0.8620689655172414,0.7575757575757577,12,4,3,True
D,campaign,fail_div,C7,0.7400881057268723,0.5874125874125875,12,4,3,True
D,campaign,fail_div,C8,0.6779661016949153,0.5128205128205129,12,4,3,True
D,campaign,fail_div,C9,0.7636887608069165,0.6177156177156178,12,4,3,True
D,campaign,fail_div_q75,C1,-0.02358490566037736,-0.011655011655011656,12,4,3,False
D,campaign,fail_div_q75,C2,0.9662650602409639,0.9347319347319348,12,4,3,True
D,campaign,fail_div_q75,C3,0.6697674418604651,0.5034965034965035,12,4,3,True
D,campaign,fail_div_q75,C4,0.8436657681940701,0.7296037296037298,12,4,3,True
D,campaign,fail_div_q75,C5,0.6738794435857806,0.5081585081585082,12,4,3,True
D,campaign,fail_div_q75,C6,0.8971722365038561,0.8135198135198136,12,4,3,True
D,campaign,fail_div_q75,C7,0.6293929712460065,0.4592074592074593,12,4,3,True
D,campaign,fail_div_q75,C8,0.7707736389684814,0.6270396270396271,12,4,3,True
D,campaign,fail_div_q75,C9,0.5818181818181819,0.41025641025641035,12,4,3,True
I,campaign,plain,C1,0.9392930084109893,0.8855348516218081,24,10,126,True
I,campaign,plain,C2,0.9319042915481122,0.8724913733609385,24,10,126,True
I,campaign,plain,C3,0.7804570130034085,0.639958592132505,24,10,126,True
I,campaign,plain,C4,0.9186325066979111,0.8495100069013111,24,10,126,True
I,campaign,plain,C5,0.9614689945815773,0.9257971014492752,24,10,126,True
I,campaign,plain,C6,0.9519859107560672,0.9083712905452035,24,10,126,True
I,campaign,plain,C7,0.9514778084511322,0.907446514837819,24,10,126,True
I,campaign,plain,C8,0.9290663513238853,0.8675293305728088,24,10,126,True
I,campaign,plain,C9,0.9408823787387071,0.8883643892339544,24,10,126,True
I,campaign,transport,C1,0.9054361825481657,0.8272118702553485,24,10,126,True
I,campaign,transport,C2,0.9194590583857508,0.8509247757073843,24,10,126,True
I,campaign,transport,C3,0.8250605105999975,0.702215320910973,24,10,126,True
I,campaign,transport,C4,0.8990072829642461,0.8165424430641821,24,10,126,True
I,campaign,transport,C5,0.9222839547493139,0.8557763975155279,24,10,126,True
I,campaign,transport,C6,0.9531330149624673,0.910462387853692,24,10,126,True
I,campaign,transport,C7,0.9618782195029338,0.9265562456866805,24,10,126,True
I,campaign,transport,C8,0.9342022514885493,0.8765286404416837,24,10,126,True
I,campaign,transport,C9,0.9410255754382246,0.8886197377501726,24,10,126,True
I,campaign,interaction,C1,0.9612158577675819,0.925327812284334,24,10,126,True
I,campaign,interaction,C2,0.9266944931057342,0.8634023464458245,24,10,126,True
I,campaign,interaction,C3,0.8379832714499946,0.7211456176673566,24,10,126,True
I,campaign,interaction,C4,0.953439241333733,0.9110213940648724,24,10,126,True
I,campaign,interaction,C5,0.9604706219958389,0.9239475500345063,24,10,126,True
I,campaign,interaction,C6,0.8933482516200724,0.8072532781228432,24,10,126,True
I,campaign,interaction,C7,0.9222078004187695,0.8556452726017942,24,10,126,True
I,campaign,interaction,C8,0.9044430919050518,0.8255555555555555,24,10,126,True
I,campaign,interaction,C9,0.9225203654061369,0.856183574879227,24,10,126,True
I,campaign,ens_var,C1,0.947490756949539,0.9002208419599723,24,10,126,True
I,campaign,ens_var,C2,0.9658790028475795,0.9340096618357486,24,10,126,True
I,campaign,ens_var,C3,0.9310217631870157,0.8709454796411316,24,10,126,True
I,campaign,ens_var,C4,0.7934099699809727,0.6575638371290545,24,10,126,True
I,campaign,ens_var,C5,0.9043809639027931,0.8254520358868185,24,10,126,True
I,campaign,ens_var,C6,0.9389629076370507,0.8849482401656316,24,10,126,True
I,campaign,ens_var,C7,0.8678006891647979,0.7664734299516908,24,10,126,True
I,campaign,ens_var,C8,0.8961303617477555,0.8118081435472738,24,10,126,True
I,campaign,ens_var,C9,0.9329229001815283,0.8742788129744652,24,10,126,True
I,campaign,ens_var_q75,C1,0.9374067297573782,0.8821877156659765,24,10,126,True
I,campaign,ens_var_q75,C2,0.9664838339241518,0.9351414768806073,24,10,126,True
I,campaign,ens_var_q75,C3,0.8802553234238376,0.7861214630779847,24,10,126,True
I,campaign,ens_var_q75,C4,0.877779412789752,0.7821808143547274,24,10,126,True
I,campaign,ens_var_q75,C5,0.9299125984513641,0.869006211180124,24,10,126,True
I,campaign,ens_var_q75,C6,0.9406733194429213,0.8879917184265009,24,10,126,True
I,campaign,ens_var_q75,C7,0.8792333306261674,0.7844927536231884,24,10,126,True
I,campaign,ens_var_q75,C8,0.9067533819723708,0.8294133885438233,24,10,126,True
I,campaign,ens_var_q75,C9,0.9442122942070116,0.8943202208419598,24,10,126,True
I,campaign,fail_div,C1,0.9799007356823541,0.9605935127674257,24,10,126,True
I,campaign,fail_div,C2,0.9383915422994923,0.8839337474120083,24,10,126,True
I,campaign,fail_div,C3,0.8001937575298398,0.6669358178053829,24,10,126,True
I,campaign,fail_div,C4,0.7999403697078116,0.666583850931677,24,10,126,True
I,campaign,fail_div,C5,0.8851873793055693,0.7940234644582469,24,10,126,True
I,campaign,fail_div,C6,0.9668412365106471,0.9358109040717736,24,10,126,True
I,campaign,fail_div,C7,0.792097365788596,0.6557625948930295,24,10,126,True
I,campaign,fail_div,C8,0.9402317008952078,0.8872049689440992,24,10,126,True
I,campaign,fail_div,C9,0.9288367640373021,0.8671290545203587,24,10,126,True
I,campaign,fail_div_q75,C1,0.9473340089574683,0.8999378881987576,24,10,126,True
I,campaign,fail_div_q75,C2,0.9720816233874485,0.9456797791580399,24,10,126,True
I,campaign,fail_div_q75,C3,0.8318472775350284,0.7121048999309868,24,10,126,True
I,campaign,fail_div_q75,C4,0.8560601574989637,0.7483436853002069,24,10,126,True
I,campaign,fail_div_q75,C5,0.8934581152132325,0.8074327122153208,24,10,126,True
I,campaign,fail_div_q75,C6,0.9602878761242919,0.9236093857832989,24,10,126,True
I,campaign,fail_div_q75,C7,0.8611847922192749,0.7562111801242235,24,10,126,True
I,campaign,fail_div_q75,C8,0.9163559946303906,0.8456245686680469,24,10,126,True
I,campaign,fail_div_q75,C9,0.9452958667098543,0.8962663906142164,24,10,126,True
J,campaign,plain,C1,0.9668375532089355,0.9358040027605243,24,10,126,True
J,campaign,plain,C2,0.9014571424239207,0.8205935127674258,24,10,126,True
J,campaign,plain,C3,0.9138541686187058,0.8413733609385783,24,10,126,True
J,campaign,plain,C4,0.932573095538023,0.873664596273292,24,10,126,True
J,campaign,plain,C5,0.9678053575817153,0.9376190476190474,24,10,126,True
J,campaign,plain,C6,0.9369233873186479,0.8813319530710835,24,10,126,True
J,campaign,plain,C7,0.9566043917666076,0.9168184955141475,24,10,126,True
J,campaign,plain,C8,0.9456680709873174,0.896935817805383,24,10,126,True
J,campaign,plain,C9,0.9381270290274591,0.8834644582470668,24,10,126,True
J,campaign,transport,C1,0.9479950920958057,0.9011318150448584,24,10,126,True
J,campaign,transport,C2,0.8749606935024904,0.7777156659765356,24,10,126,True
J,campaign,transport,C3,0.9329504031812659,0.8743271221532091,24,10,126,True
J,campaign,transport,C4,0.913711672539171,0.8411318150448587,24,10,126,True
J,campaign,transport,C5,0.9584156992416345,0.9201518288474808,24,10,126,True
J,campaign,transport,C6,0.9582022698105136,0.9197584541062802,24,10,126,True
J,campaign,transport,C7,0.9536584044915423,0.9114216701173223,24,10,126,True
J,campaign,transport,C8,0.9389473684210525,0.8849206349206347,24,10,126,True
J,campaign,transport,C9,0.9404603038224594,0.8876121463077983,24,10,126,True
J,campaign,interaction,C1,0.9691491745723462,0.9401449275362317,24,10,126,True
J,campaign,interaction,C2,0.940584250604101,0.8878329882677708,24,10,126,True
J,campaign,interaction,C3,0.8730313046859808,0.7746721877156658,24,10,126,True
J,campaign,interaction,C4,0.9177319425927377,0.8479710144927535,24,10,126,True
J,campaign,interaction,C5,0.9204774037816816,0.8526708074534161,24,10,126,True
J,campaign,interaction,C6,0.8745150278264312,0.7770117322291233,24,10,126,True
J,campaign,interaction,C7,0.9057916020071815,0.8278053830227742,24,10,126,True
J,campaign,interaction,C8,0.9272189502441335,0.8643133195307107,24,10,126,True
J,campaign,interaction,C9,0.9488574537540805,0.9026915113871635,24,10,126,True
J,campaign,ens_var,C1,0.9075570064498619,0.8307591442374052,24,10,126,True
J,campaign,ens_var,C2,0.9333667039632529,0.8750586611456175,24,10,126,True
J,campaign,ens_var,C3,0.9188019519766,0.8497998619737749,24,10,126,True
J,campaign,ens_var,C4,0.8576654276265219,0.7508005521048998,24,10,126,True
J,campaign,ens_var,C5,0.8904968644476605,0.802608695652174,24,10,126,True
J,campaign,ens_var,C6,0.9451461434863319,0.8959972394755001,24,10,126,True
J,campaign,ens_var,C7,0.9443353647652802,0.8945410628019322,24,10,126,True
J,campaign,ens_var,C8,0.9405145341079008,0.8877087646652864,24,10,126,True
J,campaign,ens_var,C9,0.8911039599603582,0.8035955831608004,24,10,126,True
J,campaign,ens_var_q75,C1,0.8800908911740495,0.7858592132505174,24,10,126,True
J,campaign,ens_var_q75,C2,0.921200750469043,0.8539130434782608,24,10,126,True
J,campaign,ens_var_q75,C3,0.9184064970254313,0.8491235334713596,24,10,126,True
J,campaign,ens_var_q75,C4,0.8996928404099005,0.8176742581090407,24,10,126,True
J,campaign,ens_var_q75,C5,0.8778532845443456,0.7822981366459627,24,10,126,True
J,campaign,ens_var_q75,C6,0.9345901591129672,0.8772118702553485,24,10,126,True
J,campaign,ens_var_q75,C7,0.9400844128769869,0.886942719116632,24,10,126,True
J,campaign,ens_var_q75,C8,0.8714162207631375,0.7721325051759833,24,10,126,True
J,campaign,ens_var_q75,C9,0.9129374695224877,0.8398205659075224,24,10,126,True
J,campaign,fail_div,C1,0.9431843045729705,0.8924775707384404,24,10,126,True
J,campaign,fail_div,C2,0.9343315854115951,0.8767563837129054,24,10,126,True
J,campaign,fail_div,C3,0.8780096867486673,0.7825465838509317,24,10,126,True
J,campaign,fail_div,C4,0.7706482730535262,0.6268737060041406,24,10,126,True
J,campaign,fail_div,C5,0.9028171626957835,0.8228502415458936,24,10,126,True
J,campaign,fail_div,C6,0.9399797359825305,0.8867563837129053,24,10,126,True
J,campaign,fail_div,C7,0.8651715752499323,0.7623809523809522,24,10,126,True
J,campaign,fail_div,C8,0.9512653211885658,0.9070600414078672,24,10,126,True
J,campaign,fail_div,C9,0.9069513069060461,0.8297446514837818,24,10,126,True
J,campaign,fail_div_q75,C1,0.8846124239858362,0.7930986887508625,24,10,126,True
J,campaign,fail_div_q75,C2,0.9306430901388909,0.8702829537612146,24,10,126,True
J,campaign,fail_div_q75,C3,0.8898678414096917,0.8015873015873015,24,10,126,True
J,campaign,fail_div_q75,C4,0.882952889752307,0.7904347826086956,24,10,126,True
