campaign,source,weighting,target,ceiling,half_split,n_masks,n_seeds,n_splits,gate_pass
A,campaign,ens_var,C1,0.9136668803346715,0.8410559006211178,24,10,126,True
A,campaign,ens_var,C2,0.9438005685545593,0.8935817805383022,24,10,126,True
A,campaign,ens_var,C3,0.7483587865385943,0.5979020013802621,24,10,126,True
A,campaign,ens_var,C4,0.8490820058856466,0.7377432712215318,24,10,126,True
A,campaign,ens_var,C5,0.9292246300504351,0.8678053830227743,24,10,126,True
A,campaign,ens_var,C6,0.9515802269043759,0.9076328502415457,24,10,126,True
A,campaign,ens_var,C7,0.9393706493335382,0.8856728778467908,24,10,126,True
A,campaign,ens_var,C8,0.9430147058823529,0.8921739130434783,24,10,126,True
A,campaign,ens_var,C9,0.7776638955320199,0.6362111801242236,24,10,126,True
A,campaign,ens_var_q75,C1,0.9143627781523938,0.8422360248447206,24,10,126,True
A,campaign,ens_var_q75,C2,0.9344373807308922,0.8769427191166324,24,10,126,True
A,campaign,ens_var_q75,C3,0.7961516732577846,0.6613388543823324,24,10,126,True
A,campaign,ens_var_q75,C4,0.9317349906554457,0.8721946169772256,24,10,126,True
A,campaign,ens_var_q75,C5,0.8979354352926859,0.814775707384403,24,10,126,True
A,campaign,ens_var_q75,C6,0.9304418109413809,0.8699309868875086,24,10,126,True
A,campaign,ens_var_q75,C7,0.9047163714288953,0.8260110420979985,24,10,126,True
A,campaign,ens_var_q75,C8,0.9259944187287599,0.8621877156659766,24,10,126,True
A,campaign,ens_var_q75,C9,0.8329856720601143,0.7137750172532779,24,10,126,True
A,campaign,fail_div,C1,0.9501939858939108,0.9051138716356107,24,10,126,True
A,campaign,fail_div,C2,0.9277032202204535,0.8651552795031056,24,10,126,True
A,campaign,fail_div,C3,0.8024397500743827,0.6700621118012423,24,10,126,True
A,campaign,fail_div,C4,0.8153973814477659,0.6883298826777087,24,10,126,True
A,campaign,fail_div,C5,0.9291652810109744,0.8677018633540372,24,10,126,True
A,campaign,fail_div,C6,0.9312267657992565,0.8713043478260869,24,10,126,True
A,campaign,fail_div,C7,0.8433446417880661,0.7291235334713594,24,10,126,True
A,campaign,fail_div,C8,0.9100428009417711,0.8349344375431331,24,10,126,True
A,campaign,fail_div,C9,0.862615043466316,0.7584195997239475,24,10,126,True
A,campaign,fail_div_q75,C1,0.9336924486439349,0.8756314699792959,24,10,126,True
A,campaign,fail_div_q75,C2,0.9481325541722624,0.9013802622498275,24,10,126,True
A,campaign,fail_div_q75,C3,0.7523732031461892,0.6030434782608695,24,10,126,True
A,campaign,fail_div_q75,C4,0.8982496692467951,0.8152933057280882,24,10,126,True
A,campaign,fail_div_q75,C5,0.9167893906659988,0.8463630089717047,24,10,126,True
A,campaign,fail_div_q75,C6,0.9371222346106449,0.8816839199447895,24,10,126,True
A,campaign,fail_div_q75,C7,0.9221196082734201,0.8554934437543134,24,10,126,True
A,campaign,fail_div_q75,C8,0.9131168568149599,0.8401242236024845,24,10,126,True
A,campaign,fail_div_q75,C9,0.8489448661272834,0.737536231884058,24,10,126,True
B,campaign,plain,C1,0.9576926811899136,0.9188198757763975,24,10,126,True
B,campaign,plain,C2,0.940018507613359,0.8868253968253966,24,10,126,True
B,campaign,plain,C3,0.8949096441822597,0.809806763285024,24,10,126,True
B,campaign,plain,C4,0.9355528293431867,0.878909592822636,24,10,126,True
B,campaign,plain,C5,0.960041627043224,0.9231538992408558,24,10,126,True
B,campaign,plain,C6,0.9717132435386121,0.9449827467218771,24,10,126,True
B,campaign,plain,C7,0.9713993653768341,0.9443892339544513,24,10,126,True
B,campaign,plain,C8,0.9247910243424642,0.8601035196687371,24,10,126,True
B,campaign,plain,C9,0.9210923102697268,0.853726708074534,24,10,126,True
B,campaign,transport,C1,0.9288644780709212,0.8671773636991028,24,10,126,True
B,campaign,transport,C2,0.9041406693136698,0.8250517598343684,24,10,126,True
B,campaign,transport,C3,0.8849428812183289,0.7936300897170463,24,10,126,True
B,campaign,transport,C4,0.9148871639913281,0.8431262939958591,24,10,126,True
B,campaign,transport,C5,0.935974915737144,0.8796549344375433,24,10,126,True
B,campaign,transport,C6,0.9801017786630816,0.9609799861973773,24,10,126,True
B,campaign,transport,C7,0.9562812206251508,0.9162249827467217,24,10,126,True
B,campaign,transport,C8,0.9365527870536858,0.8806763285024152,24,10,126,True
B,campaign,transport,C9,0.9383993201066729,0.8839475500345065,24,10,126,True
B,campaign,interaction,C1,0.9695780176643768,0.9409523809523809,24,10,126,True
B,campaign,interaction,C2,0.9586739442110823,0.9206280193236714,24,10,126,True
B,campaign,interaction,C3,0.8401040624374625,0.7242926155969635,24,10,126,True
B,campaign,interaction,C4,0.9269329462688888,0.8638164251207728,24,10,126,True
B,campaign,interaction,C5,0.9559879387426463,0.9156866804692892,24,10,126,True
B,campaign,interaction,C6,0.9410333146972737,0.8886335403726707,24,10,126,True
B,campaign,interaction,C7,0.9120886546388268,0.8383850931677017,24,10,126,True
B,campaign,interaction,C8,0.8590506261835675,0.7529261559696341,24,10,126,True
B,campaign,interaction,C9,0.8947705638271907,0.8095790200138026,24,10,126,True
B,campaign,ens_var,C1,0.9089060823403173,0.8330227743271221,24,10,126,True
B,campaign,ens_var,C2,0.9146433266294394,0.8427122153209109,24,10,126,True
B,campaign,ens_var,C3,0.9394443976827335,0.8858040027605244,24,10,126,True
B,campaign,ens_var,C4,0.8917315833553228,0.8046169772256727,24,10,126,True
B,campaign,ens_var,C5,0.9421311421552343,0.8905935127674256,24,10,126,True
B,campaign,ens_var,C6,0.9700980148266084,0.9419323671497586,24,10,126,True
B,campaign,ens_var,C7,0.9219191178932408,0.8551483781918562,24,10,126,True
B,campaign,ens_var,C8,0.9123173120951215,0.8387715665976533,24,10,126,True
B,campaign,ens_var,C9,0.8958864340332147,0.8114078674948239,24,10,126,True
B,campaign,ens_var_q75,C1,0.8950402635431918,0.8100207039337474,24,10,126,True
B,campaign,ens_var_q75,C2,0.950562741718209,0.9057832988267769,24,10,126,True
B,campaign,ens_var_q75,C3,0.9184912617228754,0.8492684610075912,24,10,126,True
B,campaign,ens_var_q75,C4,0.9170160765936455,0.8467494824016563,24,10,126,True
B,campaign,ens_var_q75,C5,0.9213171989979937,0.8541131815044857,24,10,126,True
B,campaign,ens_var_q75,C6,0.9698893466368557,0.9415389924085574,24,10,126,True
B,campaign,ens_var_q75,C7,0.9214577068508648,0.8543547273982055,24,10,126,True
B,campaign,ens_var_q75,C8,0.8799220815361068,0.7855900621118012,24,10,126,True
B,campaign,ens_var_q75,C9,0.9107064996767452,0.8360524499654935,24,10,126,True
B,campaign,fail_div,C1,0.9333706297824415,0.8750655624568668,24,10,126,True
B,campaign,fail_div,C2,0.9635563821036445,0.9296756383712907,24,10,126,True
B,campaign,fail_div,C3,0.9323922077156582,0.8733471359558316,24,10,126,True
B,campaign,fail_div,C4,0.9096655254148012,0.8342995169082125,24,10,126,True
B,campaign,fail_div,C5,0.9284486169296242,0.8664527260179432,24,10,126,True
B,campaign,fail_div,C6,0.9735197857780422,0.9484057971014492,24,10,126,True
B,campaign,fail_div,C7,0.8551518168242906,0.7469565217391303,24,10,126,True
B,campaign,fail_div,C8,0.9181440458724841,0.8486749482401653,24,10,126,True
B,campaign,fail_div,C9,0.9248867569643076,0.8602691511387164,24,10,126,True
B,campaign,fail_div_q75,C1,0.9076887704525666,0.8309799861973773,24,10,126,True
B,campaign,fail_div_q75,C2,0.9654655405067719,0.9332367149758454,24,10,126,True
B,campaign,fail_div_q75,C3,0.909981306442695,0.8348309178743962,24,10,126,True
B,campaign,fail_div_q75,C4,0.8834306189678091,0.7912008281573498,24,10,126,True
B,campaign,fail_div_q75,C5,0.9041240933876858,0.8250241545893717,24,10,126,True
B,campaign,fail_div_q75,C6,0.973156074607404,0.9477156659765356,24,10,126,True
B,campaign,fail_div_q75,C7,0.9272149790107279,0.8643064182194617,24,10,126,True
B,campaign,fail_div_q75,C8,0.8571428571428571,0.75,24,10,126,True
B,campaign,fail_div_q75,C9,0.9233209863241704,0.8575638371290546,24,10,126,True
C,campaign,plain,C1,,,8,9,0,False
C,campaign,plain,C2,,,8,9,0,False
C,campaign,plain,C3,,,8,9,0,False
C,campaign,plain,C4,,,8,9,0,False
C,campaign,plain,C5,,,8,9,0,False
C,campaign,plain,C6,,,8,9,0,False
C,campaign,plain,C7,,,8,9,0,False
C,campaign,plain,C8,,,8,9,0,False
C,campaign,plain,C9,,,8,9,0,False
C,campaign,transport,C1,,,8,9,0,False
C,campaign,transport,C2,,,8,9,0,False
C,campaign,transport,C3,,,8,9,0,False
C,campaign,transport,C4,,,8,9,0,False
C,campaign,transport,C5,,,8,9,0,False
C,campaign,transport,C6,,,8,9,0,False
C,campaign,transport,C7,,,8,9,0,False
C,campaign,transport,C8,,,8,9,0,False
C,campaign,transport,C9,,,8,9,0,False
C,campaign,interaction,C1,,,8,9,0,False
C,campaign,interaction,C2,,,8,9,0,False
C,campaign,interaction,C3,,,8,9,0,False
C,campaign,interaction,C4,,,8,9,0,False
C,campaign,interaction,C5,,,8,9,0,False
C,campaign,interaction,C6,,,8,9,0,False
C,campaign,interaction,C7,,,8,9,0,False
C,campaign,interaction,C8,,,8,9,0,False
C,campaign,interaction,C9,,,8,9,0,False
C,campaign,ens_var,C1,,,8,9,0,False
C,campaign,ens_var,C2,,,8,9,0,False
C,campaign,ens_var,C3,,,8,9,0,False
C,campaign,ens_var,C4,,,8,9,0,False
C,campaign,ens_var,C5,,,8,9,0,False
C,campaign,ens_var,C6,,,8,9,0,False
C,campaign,ens_var,C7,,,8,9,0,False
C,campaign,ens_var,C8,,,8,9,0,False
C,campaign,ens_var,C9,,,8,9,0,False
C,campaign,ens_var_q75,C1,,,8,9,0,False
C,campaign,ens_var_q75,C2,,,8,9,0,False
C,campaign,ens_var_q75,C3,,,8,9,0,False
C,campaign,ens_var_q75,C4,,,8,9,0,False
C,campaign,ens_var_q75,C5,,,8,9,0,False
C,campaign,ens_var_q75,C6,,,8,9,0,False
C,campaign,ens_var_q75,C7,,,8,9,0,False
C,campaign,ens_var_q75,C8,,,8,9,0,False
C,campaign,ens_var_q75,C9,,,8,9,0,False
C,campaign,fail_div,C1,,,8,9,0,False
C,campaign,fail_div,C2,,,8,9,0,False
C,campaign,fail_div,C3,,,8,9,0,False
C,campaign,fail_div,C4,,,8,9,0,False
C,campaign,fail_div,C5,,,8,9,0,False
C,campaign,fail_div,C6,,,8,9,0,False
C,campaign,fail_div,C7,,,8,9,0,False
C,campaign,fail_div,C8,,,8,9,0,False
C,campaign,fail_div,C9,,,8,9,0,False
C,campaign,fail_div_q75,C1,,,8,9,0,False
C,campaign,fail_div_q75,C2,,,8,9,0,False
C,campaign,fail_div_q75,C3,,,8,9,0,False
C,campaign,fail_div_q75,C4,,,8,9,0,False
C,campaign,fail_div_q75,C5,,,8,9,0,False
C,campaign,fail_div_q75,C6,,,8,9,0,False
C,campaign,fail_div_q75,C7,,,8,9,0,False
C,campaign,fail_div_q75,C8,,,8,9,0,False
C,campaign,fail_div_q75,C9,,,8,9,0,False
